pair_index,pointwise_sd,n_subsamples_covered
884,0.012059683363503396,3
885,0.003272955291315263,3
886,0.008972426819532054,3
887,0.009128345831718945,3
888,0.020610631441371912,3
889,0.016469558290253417,3
890,0.007359954812608329,3
891,0.010091337997231038,3
892,0.009863881093630731,3
893,0.021222508176530486,3
894,0.007038969265525533,3
895,0.013636850558098563,3
896,0.012537473831337818,3
897,0.03465460332922398,3
898,0.02153709208811938,3
899,0.0178007599992287,3
900,0.021305864693896878,3
901,0.0117477635307366,3
902,0.014741747820059827,3
903,0.012132048139633648,3
904,0.0145042891078265,3
905,0.015067210065716395,3
906,0.022280089863416532,3
907,0.026269698450393588,3
908,0.009412903464048992,3
909,0.022195672492757557,3
910,0.019722008481072115,3
911,0.01628453804492212,3
912,0.024665044163567656,3
913,0.014679963985820972,3
914,0.013828096419188394,3
915,0.012790796915273439,3
916,0.02167245586366528,3
917,0.013140147628004813,3
918,0.01176075113982134,3
919,0.006015572422470643,3
920,0.002761827981783937,3
921,0.009073892343313628,3
922,0.004456678277625429,3
923,0.00496676998623351,3
924,0.013113493481391535,3
925,0.002477270808469198,3
926,0.005929881846426973,3
927,0.0010270277673141456,3
928,0.000685537867542061,3
929,0.00716212718204306,3
930,0.0014160608646032718,3
931,0.004268023150001525,3
932,0.004420071618918497,3
933,0.002726350324554706,3
934,0.008036190858140077,3
935,0.012421253473525068,3
936,0.005698134135902994,3
937,0.010689991983728137,3
938,0.011207628466159598,3
939,0.10562743636121623,3
940,0.005981317855163507,3
941,0.007707394290409941,3
942,0.006439332990565475,3
943,0.006557848488317511,3
944,0.016893300829840984,3
945,0.007886238289151819,3
946,0.0013318061863732988,3
947,0.006610851061876985,3
948,0.005250724369206858,3
949,0.007584896529067726,3
950,0.004079970789009282,3
951,0.013060839964165427,3
952,0.011106499576924132,3
953,0.004221369659052973,3
954,0.004158429512452445,3
955,0.007967255003947725,3
956,0.003474926060582342,3
957,0.005016061009329104,3
958,0.008721259096841351,3
959,0.01022547101969179,3
960,0.3000758783313376,3
961,0.018981307932048025,3
962,0.003002605645496993,3
963,0.002457429584884137,3
964,0.02045052604596327,3
965,0.004250594280973961,3
966,0.009055118131833378,3
967,0.004606878457454045,3
968,0.013112905453895481,3
969,0.012561679304195328,3
970,0.0046528078674187255,3
971,0.008175347390799694,3
972,0.005673382883074881,3
973,0.007858951385045118,3
974,0.01238753086220319,3
975,0.008595420166794007,3
976,0.04001531194785785,3
977,0.018048136941374922,3
978,0.013861877492988926,3
979,0.010791036610213979,3
980,0.006092519974111605,3
981,0.0073572676959982675,3
982,0.004116459702890204,3
983,0.004016890022475173,3
984,0.014216406137814507,3
985,0.0035864841668018944,3
986,0.00851308160850735,3
987,0.021219615799785457,3
988,0.0079375626019848,3
989,0.014226651584647169,3
990,0.009602516613883269,3
991,0.015504690320553134,3
992,0.05261346010509958,3
993,0.005807162789284314,3
994,0.008588334310075975,3
995,0.006316417888613145,3
996,0.013149384405841562,3
997,0.006525270685960704,3
998,0.012443726299611046,3
999,0.010868477830500893,3
1000,0.009124123194528006,3
1001,0.00578553793957028,3
1002,0.0013589948329221998,3
1003,0.004641666786778018,3
1004,0.010643871344163855,3
1005,0.01691650719364782,3
1006,0.013092291572369293,3
1007,0.01912228495455907,3
1008,0.0075438953976635316,3
1009,0.033109065120444495,3
1010,0.0170911537067677,3
1011,0.012677839873007064,3
1012,0.015078693425650897,3
1013,0.013308872428284645,3
1014,0.015992758896174106,3
1015,0.013395426750972158,3
1016,0.016089008751534236,3
1017,0.020922735604110874,3
1018,0.014296878416259774,3
1019,0.018862195218406867,3
1020,0.0267985309689079,3
1021,0.01789545800854197,3
1022,0.017737103512097212,3
1023,0.012980490343022986,3
1024,0.012650460442557394,3
1025,0.0031714673546725945,3
1026,0.010004918904752916,3
1027,0.04478752686264643,3
1028,0.011576347359645573,3
1029,0.008484410506796427,3
1030,0.02624185060281331,3
1031,0.004650111938532751,3
1032,0.026093595047493322,3
1033,0.02009689859640891,3
1034,0.007416590672216412,3
1035,0.03859029889769072,3
1036,0.026193127223965586,3
1037,0.010341603623101719,3
1038,0.012549065977981489,3
1039,0.004984314803412378,3
1040,0.01859102007322298,3
1041,0.022324251937127268,3
1042,0.04559704827095081,3
1043,0.014054773004721601,3
1044,0.07147310024800811,3
1045,0.0027703439288302703,3
1046,0.004440307186096664,3
1047,0.00654847811089476,3
1048,0.002583037346272866,3
1049,0.0038776475382178775,3
1050,0.02036690162768138,3
1051,0.011095252817416757,3
1052,0.019308680453785598,3
1053,0.022040222860031884,3
1054,0.009414037132312224,3
1055,0.014311476970578703,3
1056,0.008357445229923327,3
